+-------+--------------------+-------------------------+------------------------------------------+-----------+-----------------+---------------------+--------------+
| month | active miner count | hosting_invoice_balance | hosting_invoice_balance_left_to_pay ($0) | BTC_start | BTC_used_to_pay | BTC_remaining_after | BTC_all_time |
+-------+--------------------+-------------------------+------------------------------------------+-----------+-----------------+---------------------+--------------+
|   1   |        874         |         131,100         |                 131,100                  |  9.9636   |      6.555      |       3.4086        |    3.4086    |
|   2   |        880         |         132,000         |                 132,000                  |  10.032   |       6.6       |        3.432        |    6.8406    |
|   3   |        886         |         132,900         |                 132,900                  |  10.1004  |      6.645      |       3.4554        |    10.296    |
|   4   |        892         |         133,800         |                 133,800                  |  10.1688  |      6.69       |       3.4788        |   13.7748    |
|   5   |        897         |         134,550         |                 134,550                  |  10.2258  |     6.7275      |       3.4983        |   17.2731    |
|   6   |        903         |         135,450         |                 135,450                  |  10.2942  |     6.7725      |       3.5217        |   20.7948    |
|   7   |        909         |         136,350         |                 136,350                  |  10.3626  |     6.8175      |       3.5451        |   24.3399    |
|   8   |        915         |         137,250         |                 137,250                  |  10.431   |     6.8625      |       3.5685        |   27.9084    |
|   9   |        921         |         138,150         |                 138,150                  |  10.4994  |     6.9075      |       3.5919        |   31.5003    |
|  10   |        927         |         139,050         |                 139,050                  |  10.5678  |     6.9525      |       3.6153        |   35.1156    |
|  11   |        933         |         139,950         |                 139,950                  |  10.6362  |     6.9975      |       3.6387        |   38.7543    |
|  12   |        939         |         140,850         |                 140,850                  |  9.5778   |      4.695      |       4.8828        |   43.6371    |
|  13   |        945         |         141,750         |                 141,750                  |   9.639   |      4.725      |        4.914        |   48.5511    |
|  14   |        951         |         142,650         |                 142,650                  |  9.7002   |      4.755      |       4.9452        |   53.4963    |
|  15   |        957         |         143,550         |                 143,550                  |  9.7614   |      4.785      |       4.9764        |   58.4727    |
|  16   |        963         |         144,450         |                 144,450                  |  9.8226   |      4.815      |       5.0076        |   63.4803    |
|  17   |        970         |         145,500         |                 145,500                  |   9.894   |      4.85       |        5.044        |   68.5243    |
|  18   |        976         |         146,400         |                 146,400                  |  9.9552   |      4.88       |       5.0752        |   73.5995    |
|  19   |        982         |         147,300         |                 147,300                  |  10.0164  |      4.91       |       5.1064        |   78.7059    |
|  20   |        989         |         148,350         |                 148,350                  |  10.0878  |      4.945      |       5.1428        |   83.8487    |
|  21   |        995         |         149,250         |                 149,250                  |  10.149   |      4.975      |        5.174        |   89.0227    |
|  22   |       1,002        |         150,300         |                 150,300                  |  10.2204  |      5.01       |       5.2104        |   94.2331    |
|  23   |       1,008        |         151,200         |                 151,200                  |  10.2816  |      5.04       |       5.2416        |   99.4747    |
|  24   |       1,015        |         152,250         |                 152,250                  |  5.1765   |     3.80625     |       1.37025       |  100.84495   |
|  25   |       1,016        |         152,400         |                 152,400                  |  5.1816   |      3.81       |       1.3716        |  102.21655   |
|  26   |       1,018        |         152,700         |                 152,700                  |  5.1918   |     3.8175      |       1.3743        |  103.59085   |
|  27   |       1,019        |         152,850         |                 152,850                  |  5.1969   |     3.82125     |       1.37565       |   104.9665   |
|  28   |       1,021        |         153,150         |                 153,150                  |  5.2071   |     3.82875     |       1.37835       |  106.34485   |
|  29   |       1,022        |         153,300         |                 153,300                  |  5.2122   |     3.8325      |       1.3797        |  107.72455   |
|  30   |       1,024        |         153,600         |                 153,600                  |  5.2224   |      3.84       |       1.3824        |  109.10695   |
